filename,label
00655d9628.png,sphere
0113230c21.png,sphere
0144266d21.png,sphere
01ac659240.png,cube
027f25010a.png,sphere
0289bd97e6.png,sphere
032bd4a6b1.png,sphere
0384c4e782.png,sphere
03cd0b2741.png,sphere
04dbda93f9.png,sphere
065d8e352c.png,sphere
06f605c0b1.png,sphere
07330c8ea1.png,sphere
08549eb98f.png,rod
0a30487a4e.png,sphere
0a55e7c93f.png,sphere
0e41d62d5d.png,rod
10d85f70bd.png,triangle
132788669c.png,rod
15a3ba1c51.png,sphere
1736c60650.png,rod
173c98ef82.png,sphere
17f1cecc7a.png,cube
19b0afdf81.png,sphere
1a29c5b84f.png,sphere
1b3c6536a3.png,sphere
1b935635dd.png,sphere
1bed563906.png,sphere
1bf56ce626.png,cube
1cb46bfdd5.png,sphere
1d67fb3321.png,sphere
1e011bd992.png,sphere
1ecd5c901c.png,sphere
1ff313314c.png,sphere
207bb15702.png,sphere
208b16bbb7.png,sphere
21308b3614.png,sphere
2181ebb330.png,sphere
2242820128.png,sphere
226dc58f03.png,sphere
22c776b059.png,sphere
22d5aab090.png,sphere
2387be5eaf.png,rod
23d581d8a9.png,sphere
2556313831.png,sphere
257e44104b.png,rod
25af264996.png,sphere
26e5f24689.png,rod
2807b90ea9.png,rod
2897b777fe.png,sphere
294049f7a8.png,sphere
296a52bf09.png,sphere
2bc87a8698.png,rod
2bf4aa0195.png,rod
2c6c108b4d.png,sphere
2cd773d930.png,sphere
2d1a6c5ce4.png,rod
2d6f268052.png,rod
2daa27a6df.png,sphere
2e4a3ab627.png,sphere
2e5dab1969.png,sphere
2ee0518d7a.png,sphere
2fb8fe344c.png,sphere
30da4fa249.png,sphere
31a727b95d.png,sphere
31f17306c8.png,sphere
3430b20071.png,sphere
345fb7ab68.png,sphere
34864e691e.png,cube
3537f150cd.png,sphere
3692286ecf.png,sphere
36de69b2c0.png,sphere
37ce835fb2.png,cube
391ef00939.png,cube
398ae34c19.png,sphere
39b0dc1f52.png,sphere
39b3a6db5e.png,sphere
39dda96b25.png,sphere
39e18a8f4c.png,sphere
3a0a2f5edf.png,sphere
3a9246e0ee.png,sphere
3ac1920a79.png,rod
3bbd05202e.png,sphere
3d103080e6.png,sphere
3f97a9e821.png,rod
404b0836f1.png,sphere
406975041a.png,sphere
40afb05b44.png,sphere
410284d28b.png,sphere
41ac55ed12.png,cube
41bb4d19a4.png,sphere
42750053e0.png,cube
434e287439.png,sphere
43875c5b20.png,sphere
43be4d0a2c.png,triangle
441414704c.png,rod
453123a947.png,rod
4545280c2b.png,sphere
4628753cd8.png,sphere
478a6c42ec.png,sphere
482193653a.png,cube
4822787326.png,sphere
48f3a148f6.png,sphere
4bafa92eec.png,cube
4cd9e65aae.png,sphere
4d951b622f.png,sphere
4ec7671d11.png,sphere
50a4901372.png,sphere
516b2f0aa8.png,sphere
53025d5189.png,sphere
544b32e4cd.png,sphere
55511ff512.png,sphere
555eb05b4c.png,sphere
5842aa1a32.png,cube
586dc6cc59.png,cube
59424b060a.png,rod
5a25d179cc.png,sphere
5a65f9eba2.png,sphere
5a6c23682b.png,sphere
5addfe7111.png,sphere
5c1cd79e2e.png,cube
5c244a9ea8.png,rod
5c418c2eb0.png,cube
5d72761807.png,sphere
5e22377208.png,sphere
5f42a8d4a9.png,rod
5fc8c5b53c.png,sphere
60c63e2383.png,sphere
611b9564a4.png,sphere
6169a602a0.png,sphere
62223ab32f.png,sphere
62594342ac.png,sphere
627acee9c4.png,sphere
62a54f335d.png,rod
62e729e838.png,sphere
636334b3f1.png,sphere
63df66fb4d.png,sphere
6643f01cf4.png,sphere
66a6ddb34e.png,sphere
6752c27137.png,sphere
691f7638fd.png,sphere
6a291d0bb4.png,sphere
6c52a10c75.png,rod
6d0f510327.png,sphere
6d1574872b.png,sphere
6db657d4f7.png,rod
6de290c824.png,sphere
6e16b7dcb7.png,sphere
6fe6ed78ab.png,triangle
707120d0f5.png,rod
724248a877.png,sphere
72507b07bc.png,sphere
728f55aed4.png,rod
736f1a3eb2.png,sphere
73e0a09cd2.png,sphere
78834ed976.png,sphere
78847f96ee.png,sphere
78b42bc5e8.png,sphere
78bda6c73b.png,rod
78c63579ba.png,sphere
7988097925.png,sphere
7a48f5b4d5.png,rod
7ab1f4b7ba.png,sphere
7b76562318.png,sphere
7c5501d292.png,sphere
7e0c56c44b.png,sphere
7e85b64066.png,sphere
7ea28e7e54.png,rod
7ecd3c2ab9.png,sphere
7f1a5b0782.png,sphere
7f50b86c4b.png,rod
7f94f4bdab.png,rod
7fabcfe23f.png,sphere
802e607c7c.png,sphere
80719af02f.png,sphere
80d6a1f25a.png,sphere
8136144eaf.png,sphere
82b9b9c2af.png,sphere
82c99bbb53.png,sphere
82e8007547.png,sphere
83afcabd95.png,sphere
83fd5c9288.png,sphere
848b740671.png,rod
84a6330bdb.png,cube
854de5be19.png,cube
85743c45d1.png,rod
85a5d4d8b9.png,sphere
85dedcfd30.png,sphere
87429394b0.png,cube
88808139d3.png,sphere
891f96f60d.png,sphere
893215335a.png,rod
89e4044418.png,sphere
8b40ed2a82.png,rod
8b7ce99d43.png,cube
8bf3782470.png,sphere
8c22d1acd5.png,sphere
8cee575b39.png,sphere
8d7fc4c578.png,sphere
8e1269eba3.png,sphere
8e50748a7b.png,rod
8e68b05e0e.png,sphere
8f9db31734.png,rod
8fde53b05f.png,rod
90615b870a.png,cube
913312cfdf.png,sphere
923cab32ee.png,sphere
9246d32fe0.png,sphere
9318f3ce70.png,cube
934d76aaf2.png,sphere
93ed483d79.png,rod
95e201a1fe.png,rod
96c772f28b.png,cube
9797ed1000.png,sphere
97e645b56e.png,sphere
986f86c3b5.png,sphere
98a18b7db9.png,sphere
9928dad0ac.png,sphere
99eb4bad25.png,rod
9c29ca7edf.png,sphere
9c4905d020.png,sphere
9c68e03e41.png,sphere
9c9d1af243.png,sphere
9d2e813224.png,sphere
9d358e8c8a.png,sphere
9dc60257e5.png,cube
9ef6e6b29d.png,sphere
9fa90de188.png,rod
9fac661e24.png,sphere
a027b64ae9.png,sphere
a1315df346.png,sphere
a1dada3898.png,sphere
a1e18db01a.png,sphere
a2883fc6eb.png,sphere
a4027c076c.png,sphere
a45586af89.png,sphere
a492171fa8.png,sphere
a4b639ab1a.png,sphere
a562af31ea.png,sphere
a59bcf3f13.png,sphere
a630b192d4.png,sphere
a66c75354a.png,sphere
a68915823c.png,sphere
a880175367.png,sphere
a8851978de.png,triangle
a8e3f32537.png,sphere
a9a628444d.png,sphere
aa309f6cec.png,sphere
aa968ec1b2.png,rod
ab82fe7827.png,sphere
ac49e14130.png,cube
ae001af29f.png,sphere
ae690251d5.png,sphere
ae843e9fc0.png,cube
af124a45d9.png,sphere
af2a275342.png,rod
af674cfe7e.png,cube
b0e3041a0d.png,rod
b16f4f83a4.png,sphere
b1fc590830.png,rod
b23c478d84.png,rod
b2f6f1bbf9.png,cube
b392e4784f.png,sphere
b3e7900e39.png,rod
b4ab2ea927.png,sphere
b5ba9813a4.png,sphere
b616ffa779.png,cube
b657336f23.png,sphere
b78bdee5d3.png,rod
b78f5fdc22.png,sphere
b85f5e414c.png,sphere
b8e9061c90.png,sphere
b996f341bd.png,sphere
bb3d8c922b.png,sphere
bc1fe886af.png,rod
bc5529f7ca.png,sphere
bcab6454cf.png,sphere
be5df16bd4.png,sphere
bf6f1a320a.png,sphere
bfb2a25730.png,rod
c0ba8a65a5.png,rod
c0fcfec15c.png,sphere
c1bfc4308b.png,rod
c1cccb3332.png,cube
c1d32ab54d.png,sphere
c294fece54.png,sphere
c36b04376a.png,rod
c3d3764a5a.png,sphere
c5c0825297.png,sphere
c61a50a061.png,sphere
c6ea896731.png,rod
c7e9ec8d48.png,rod
c88cae3e95.png,rod
c984680063.png,sphere
ca780314cd.png,sphere
cc87926397.png,sphere
cc9540d282.png,cube
cd22803960.png,sphere
